nohup: ignoring input
app-1  | 2026-09-18T13:05:39.584947046Z   File "/app/src/cautious_crypto_bro/execution.py", line 412, in _validate_geometry
app-1  | 2026-09-18T13:05:39.584951315Z     raise ExecutionPlanningError(
app-1  | 2026-09-18T13:05:39.584955202Z cautious_crypto_bro.execution.ExecutionPlanningError: Rounded LONG take-profit geometry is invalid
app-1  | 2026-09-18T13:05:39.601070251Z 2026-09-18 13:05:39,600 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:05:39.730099385Z 2026-09-18 13:05:39,729 INFO cautious_crypto_bro.telegram_source: Telegram startup complete; listening for live updates
app-1  | 2026-09-18T13:14:58.660791868Z 2026-09-18 13:14:58,660 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:14:59.588325681Z 2026-09-18 13:14:59,588 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/market/time "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:14:59.588504024Z 2026-09-18 13:14:59,588 INFO cautious_crypto_bro.bybit: Bybit clock offset +23975 ms (RTT 801 ms)
app-1  | 2026-09-18T13:14:59.848141439Z 2026-09-18 13:14:59,847 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/list?category=linear&settleCoin=USDT&limit=200 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:15:00.090127674Z 2026-09-18 13:15:00,089 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/list?category=linear&settleCoin=USDT&limit=200&cursor=XLMUSDT%252C1789718400113%252C0 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:15:00.330364215Z 2026-09-18 13:15:00,330 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/order/realtime?category=linear&settleCoin=USDT&openOnly=0&limit=50 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:15:00.570407888Z 2026-09-18 13:15:00,570 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/order/realtime?category=linear&settleCoin=USDT&openOnly=0&limit=50&cursor=cc1e57ef-eba0-425f-9027-33d5b834ae0a%253A1789735581015%252C33134651-4d5b-4043-b54c-2a578f32b7a0%253A1789398492436 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:15:04.383322505Z 2026-09-18 13:15:04,383 INFO httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:15:06.683902753Z 2026-09-18 13:15:06,683 WARNING cautious_crypto_bro.openrouter: Invalid OpenRouter structured output for -1001262962760/99538 on attempt 1/3: 1 validation error for IntentExtraction
app-1  | 2026-09-18T13:15:06.683941016Z intents.0.confidence
app-1  | 2026-09-18T13:15:06.683943942Z   Field required [type=missing, input_value={'symbol': 'NEARUSDT', 's...on NEARUSDT at market.'}, input_type=dict]
app-1  | 2026-09-18T13:15:06.683946717Z     For further information visit https://errors.pydantic.dev/2.13/v/missing
app-1  | 2026-09-18T13:15:06.683949262Z 2026-09-18 13:15:06,683 WARNING cautious_crypto_bro.openrouter: OpenRouter attempt 1/3 failed for -1001262962760/99538: OpenRouter returned invalid structured output; retrying
app-1  | 2026-09-18T13:15:13.177085600Z 2026-09-18 13:15:13,176 INFO httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:15:15.658256205Z 2026-09-18 13:15:15,658 INFO cautious_crypto_bro.openrouter: OpenRouter inference for -1001262962760/99538 (1 image(s)) completed in 8.47s on attempt 2/3
app-1  | 2026-09-18T13:15:15.662940100Z 2026-09-18 13:15:15,662 WARNING cautious_crypto_bro.openrouter: Dropping incomplete OPEN candidate from -1001262962760/99538 for NEARUSDT
app-1  | 2026-09-18T13:15:15.662954408Z 2026-09-18 13:15:15,662 INFO cautious_crypto_bro.openrouter: No actionable intent for -1001262962760/99538: The post text 'Открыли?' (Opened?) combined with an exchange screenshot showing an active NEARUSDT short position with a profit of +34.34% indicates the trader has just entered this position. Since there is no existing position for NEARUSDT in the source history, this is a NEW trade. The screenshot provides the entry price (3.611) and the side (Short), but since the position is already live in the screenshot, it is treated as a MARKET entry for the purpose of copying the current state.
app-1  | 2026-09-18T13:56:47.916974917Z 2026-09-18 13:56:47,916 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
app-1  | 2026-09-18T13:56:49.830477547Z 2026-09-18 13:56:49,830 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/market/time "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:56:49.830603829Z 2026-09-18 13:56:49,830 INFO cautious_crypto_bro.bybit: Bybit clock offset +24483 ms (RTT 1771 ms)
app-1  | 2026-09-18T13:56:50.058087104Z 2026-09-18 13:56:50,057 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/list?category=linear&settleCoin=USDT&limit=200 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:56:50.285658108Z 2026-09-18 13:56:50,285 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/list?category=linear&settleCoin=USDT&limit=200&cursor=XLMUSDT%252C1789718400113%252C0 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:56:50.512376300Z 2026-09-18 13:56:50,512 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/order/realtime?category=linear&settleCoin=USDT&openOnly=0&limit=50 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:56:50.741563081Z 2026-09-18 13:56:50,741 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/order/realtime?category=linear&settleCoin=USDT&openOnly=0&limit=50&cursor=cc1e57ef-eba0-425f-9027-33d5b834ae0a%253A1789735581015%252C33134651-4d5b-4043-b54c-2a578f32b7a0%253A1789398492436 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:56:54.417999216Z 2026-09-18 13:56:54,417 INFO httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:57:01.054432754Z 2026-09-18 13:57:01,054 INFO cautious_crypto_bro.openrouter: OpenRouter inference for -1001262962760/99539 (1 image(s)) completed in 10.30s on attempt 1/3
app-1  | 2026-09-18T13:57:01.059298739Z 2026-09-18 13:57:01,059 INFO cautious_crypto_bro.openrouter: Ignoring UPDATE_EXISTING candidate from -1001262962760/99539 for NEARUSDT
app-1  | 2026-09-18T13:57:01.059499713Z 2026-09-18 13:57:01,059 WARNING cautious_crypto_bro.service: Position action REDUCE NEARUSDT remains MANUAL because live position count is 0
app-1  | 2026-09-18T13:57:01.506021758Z 2026-09-18 13:57:01,505 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/closed-pnl?category=linear&startTime=1789650310096&endTime=1789739821059&limit=100 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T13:57:01.742438258Z 2026-09-18 13:57:01,742 INFO httpx: HTTP Request: GET https://api-demo.bybit.com/v5/position/closed-pnl?category=linear&startTime=1789650310096&endTime=1789739821059&limit=100&cursor=3a55e1ce-6245-4df0-899b-69b625af9075%253A1789715877730090586%252C057bd656-3dd5-4eb8-bba5-32e0a4d32d3b%253A1789715874276155948 "HTTP/1.1 200 OK"
app-1  | 2026-09-18T14:10:47.650214946Z 2026-09-18 14:10:47,650 INFO telethon.client.downloads: Starting direct file download in chunks of 131072 at 0, stride 131072
